id,code,item_set_version,kind,domain,facet,keyed,anchor,block_no,linking,status,quality_rule,text_ja,screening,note
2001,V02-D01-01,0.2,personality,D01,交流の開始,1,true,,false,candidate,,普段、身近な人に自分から話しかける。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2002,V02-D01-02,0.2,personality,D01,一人の時間,-1,true,,false,candidate,,普段、空いた時間は一人で過ごすことを選ぶ。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2003,V02-D01-03,0.2,personality,D01,出来事の共有,1,false,0,false,candidate,,普段、日常の小さな出来事を誰かに伝えたくなる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2004,V02-D01-04,0.2,personality,D01,初対面の接近,-1,false,1,false,candidate,,普段、初めて会う人との会話は相手から始まることが多い。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2005,V02-D01-05,0.2,personality,D01,共同での活動,1,false,2,false,candidate,,普段、一人でもできることを誰かと一緒にするのが好きだ。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2006,V02-D01-06,0.2,personality,D01,交流の頻度,-1,false,3,false,candidate,,普段、人と話す機会が少ない日が続いても心地よく過ごせる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2007,V02-D01-07,0.2,personality,D01,関係の広がり,1,false,4,false,candidate,,普段、知り合いを通じて新しい人と話す機会を求める。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2008,V02-D01-08,0.2,personality,D01,集まりでの距離,-1,false,5,false,candidate,,普段、人が集まる場では少し離れたところで過ごす。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2009,V02-D01-09,0.2,personality,D01,関係の深まり,1,false,6,false,candidate,,普段、親しい人とは近況を詳しく話す時間を持ちたい。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2010,V02-D01-10,0.2,personality,D01,活動後の過ごし方,-1,false,7,false,candidate,,普段、人と過ごした後の自由時間は、一人になることを選ぶ。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2011,V02-D01-11,0.2,personality,D01,会話の継続,1,false,8,false,candidate,,普段、用件が済んだ後も、その相手との会話を続けたい。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2012,V02-D01-12,0.2,personality,D01,連絡の間隔,-1,false,9,false,candidate,,普段、親しい人との連絡は間隔が空いているほうが心地よい。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2013,V02-D01-13,0.2,personality,D01,日常の同伴,1,false,0,false,candidate,,普段、ちょっとした用事にも誰かを誘いたくなる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2014,V02-D01-14,0.2,personality,D01,話題の持ち出し,-1,false,1,false,candidate,,普段、自分の近況は聞かれたときに話すことが多い。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2015,V02-D01-15,0.2,personality,D01,交流への時間配分,1,false,2,false,candidate,,普段、自由な時間の一部を人と過ごすために使いたい。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2016,V02-D01-16,0.2,personality,D01,会話の区切り,-1,false,3,false,candidate,,普段、人と話すときは短いやり取りを好む。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2017,V02-D02-01,0.2,personality,D02,相違の調整,1,true,,false,candidate,,普段、意見が食い違うと、お互いが受け入れられる案を探す。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
